Account Name,Industry Sector,Days of Data,Number of Clients,Total Critical Roaming Minutes,Average Critical Roaming Minutes per Client per Day,Total Critical Coverage Minutes,Average Critical Coverage Minutes per Client per Day,Total Critical Congestion Minutes,Average Critical Congestion Minutes per Client per Day,Total Critical Co-Channel Interference Minutes,Average Critical Co-Channel Interference Minutes per Client per Day,Total Critical Adjacent Channel Interference Minutes,Average Critical Adjacent Channel Interference Minutes per Client per Day,Total Critical RF Problem Minutes,Average Critical RF Problem Minutes per Client per Day,Total Average Critical Minutes per Client per Day,Total Average Critical Hours per Client per Day,Total Critical Hours Identified per Day
Sony,Enterprise Office Space,30,179.0,10620.0,1.9776536312849162,17380.0,3.2364990689013036,15.0,0.0034722222222222225,31323.0,5.832960893854748,178403.0,33.22216014897579,52.0,0.012037037037037037,44.28478300227602,0.7380797167046004,132.11626929012345
Spang,Manufacturing/Distribution,30,189.0,15728.0,2.7738977072310407,36078.0,6.362962962962963,22.0,0.004526748971193415,81625.0,14.39594356261023,158710.0,27.991181657848323,150.0,0.0308641975308642,51.559376837154616,0.8593229472859103,162.41203703703704
SparrowHealth,Hospital Healthcare,30,82.0,31355.0,12.745934959349594,99.0,0.04024390243902439,0.0,0.0,488.0,0.1983739837398374,43.0,0.017479674796747967,0.0,0.0,13.002032520325205,0.21670054200542008,17.769444444444446
StamfordHealth,Hospital Healthcare,30,1.0,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,75.0,2.5,0.0,0.0,0.0,0.0,2.533333333333333,0.042222222222222223,0.042222222222222223
StanfordUniv,Higher Education,30,10.0,1213.0,4.043333333333333,1050.0,3.5,1.0,0.0033333333333333335,139.0,0.4633333333333333,386.0,1.2866666666666666,1.0,0.0033333333333333335,9.3,0.155,1.55
Steelcase,Enterprise Office Space,30,28.0,452.0,0.5380952380952381,477.0,0.5678571428571428,0.0,0.0,5126.0,6.102380952380953,4028.0,4.795238095238095,2.0,0.002898550724637681,12.006469979296067,0.2001078329882678,5.603019323671498
StElizabeth,Hospital Healthcare,30,46.0,3919.0,2.8398550724637683,8282.0,6.001449275362319,0.0,0.0,28734.0,20.821739130434782,16035.0,11.619565217391305,0.0,0.0,41.28260869565217,0.6880434782608695,31.65
Stryker,Enterprise Office Space,30,5.0,78.0,0.52,20.0,0.13333333333333333,27.0,0.18000000000000002,2984.0,19.89333333333333,280.0,1.8666666666666667,29.0,0.19333333333333333,22.78666666666666,0.3797777777777777,1.8988888888888886
Sun River,Hospital Healthcare,30,1235.0,95349.0,2.573522267206478,425182.0,11.475897435897435,,,73993.0,1.9971120107962215,13892.0,0.3749527665317139,,,16.421484480431847,0.27369140800719743,338.0088888888888
SUNYBinghampton,Higher Education,30,7.0,853.0,4.061904761904762,1884.0,8.971428571428572,1.0,0.0047619047619047615,966.0,4.6,269.0,1.280952380952381,6.0,0.02857142857142857,18.94761904761905,0.31579365079365085,2.210555555555556
SUNYDownstate,Hospital Healthcare,30,,,,,,,,,,,,,,0.0,0.0,
Swinerton,Enterprise Office Space,30,128.0,8704.0,2.2666666666666666,5370.0,1.3984375,0.0,0.0,2814.0,0.7328125,7756.0,2.019791666666667,0.0,0.0,6.417708333333334,0.10696180555555555,13.69111111111111
TempleUniversityHealth,Hospital Healthcare,30,309.0,64739.0,6.983710895361381,99613.0,10.745738942826323,,,530825.0,57.26267529665588,156865.0,16.921790722761596,,,91.91391585760518,1.531898597626753,473.3566666666667
TidalHealth,Hospital Healthcare,30,,,,,,,,,,,,,,0.0,0.0,
Tonkon,Enterprise Office Space,30,29.0,55.0,0.06321839080459771,385.0,0.4425287356321839,3.0,0.0037037037037037034,3028.0,3.4804597701149422,8223.0,9.451724137931034,3.0,0.0037037037037037034,13.445338441890165,0.22408897403150274,6.49858024691358
Touro,Higher Education,30,14.0,140.0,0.3333333333333333,411.0,0.9785714285714285,0.0,0.0,651.0,1.55,3838.0,9.13809523809524,0.0,0.0,12.000000000000002,0.20000000000000004,2.8000000000000007
TransRe,Enterprise Office Space,30,198.0,21768.0,3.6646464646464647,68831.0,11.587710437710436,55.0,0.009700176366843033,80196.0,13.5010101010101,420317.0,70.7604377104377,169.0,0.02980599647266314,99.55331088664421,1.6592218481107368,328.5259259259259
UCSantaCruz,Higher Education,30,12.0,4768.0,13.244444444444444,29807.0,82.79722222222222,6.0,0.016666666666666666,2935.0,8.152777777777779,1616.0,4.488888888888889,37.0,0.10277777777777779,108.80277777777778,1.8133796296296296,21.760555555555555
UKG,Enterprise Office Space,30,15.0,48.0,0.10666666666666667,649.0,1.4422222222222223,0.0,0.0,53.0,0.11777777777777777,696.0,1.5466666666666666,2.0,0.006060606060606061,3.2193939393939393,0.05365656565656565,0.8048484848484848
UmassMemorial,Hospital Healthcare,30,120.0,8461.0,2.350277777777778,53829.0,14.952499999999999,32.0,0.00903954802259887,26413.0,7.336944444444444,28304.0,7.862222222222223,107.0,0.030225988700564973,32.54120998116761,0.5423534996861269,65.08241996233522
UNCChapelHill,Higher Education,30,,,,,,,,,,,,,,0.0,0.0,
UNI ,Higher Education,30,,,,,,,,,,,,,,0.0,0.0,
UnivWesternOntario,Higher Education,30,,,,,,,,,,,,,,0.0,0.0,
USP,Enterprise Office Space,30,521.0,1507.0,0.09641714651311581,1853.0,0.11855406269993601,7.0,0.0005622489959839357,1477.0,0.09449776071657069,193.0,0.012348048624440179,24.0,0.001927710843373494,0.32430697839342015,0.005405116306557003,2.816065595716198
UWHealth,Hospital Healthcare,30,,,,,,,,,,,,,,0.0,0.0,
VanderbiltMedical,Hospital Healthcare,30,3480.0,518209.0,4.963687739463601,981762.0,9.403850574712644,20.0,0.0003041362530413625,521946.0,4.996611143021252,2264388.0,21.677082136703046,144.0,0.0021897810218978104,41.04372551117548,0.6840620918529247,2380.5360796481777
Viridien,Enterprise Office Space,30,33.0,1055.0,1.0656565656565655,20101.0,20.304040404040403,0.0,0.0,1777.0,1.794949494949495,22811.0,23.04141414141414,5.0,0.005208333333333333,46.21126893939394,0.7701878156565657,25.41619791666667
VantageBank,Enterprise Office Space,30,66.0,3719.0,1.8782828282828283,25396.0,12.826262626262627,0.0,0.0,34359.0,17.094029850746267,78103.0,38.85721393034826,3.0,0.0015873015873015873,70.6573765372273,1.1776229422871216,77.72311419095003
VWPoland,Manufacturing/Distribution,30,,,,,,,,,,,,,,0.0,0.0,
Wentzo,Enterprise Office Space,30,1.0,24.0,0.8,275.0,9.166666666666666,0.0,0.0,0.0,0.0,717.0,23.9,0.0,0.0,33.86666666666667,0.5644444444444444,0.5644444444444444
WestLothian,Enterprise Office Space,30,46.0,20.0,0.014492753623188406,628.0,0.45507246376811594,,,5.0,0.0036231884057971015,0.0,0.0,,,0.4731884057971015,0.007886473429951692,0.3627777777777778
Wheeler ,Hospital Healthcare,30,2.0,1.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.48333333333333334,0.0,0.0,0.5,0.008333333333333333,0.016666666666666666
Woolworths,Retail,30,7.0,5673.0,27.014285714285716,579.0,2.757142857142857,,,855.0,4.071428571428571,11751.0,55.95714285714286,,,89.80000000000001,1.4966666666666668,10.476666666666668
Zoll,Enterprise Office Space,30,85.0,4454.0,1.7466666666666666,47975.0,18.813725490196077,7.0,0.002845528455284553,48094.0,18.860392156862744,88333.0,34.640392156862745,28.0,0.011382113821138212,74.07540411286466,1.2345900685477444,104.94015582655828
